"color" "spine" "width" "weight" "num.satellites"
"2" "3" "3" "28.3" "3050" "8"
"3" "4" "3" "22.5" "1550" "0"
"4" "2" "1" "26.0" "2300" "9"
"5" "4" "3" "24.8" "2100" "0"
"6" "4" "3" "26.0" "2600" "4"
"7" "3" "3" "23.8" "2100" "0"
"8" "2" "1" "26.5" "2350" "0"
"9" "4" "2" "24.7" "1900" "0"
"10" "3" "1" "23.7" "1950" "0"
"11" "4" "3" "25.6" "2150" "0"
"12" "4" "3" "24.3" "2150" "0"
"13" "3" "3" "25.8" "2650" "0"
"14" "3" "3" "28.2" "3050" "11"
"15" "5" "2" "21.0" "1850" "0"
"16" "3" "1" "26.0" "2300" "14"
"17" "2" "1" "27.1" "2950" "8"
"18" "3" "3" "25.2" "2000" "1"
"19" "3" "3" "29.0" "3000" "1"
"20" "5" "3" "24.7" "2200" "0"
"21" "3" "3" "27.4" "2700" "5"
"22" "3" "2" "23.2" "1950" "4"
"23" "2" "2" "25.0" "2300" "3"
"24" "3" "1" "22.5" "1600" "1"
"25" "4" "3" "26.7" "2600" "2"
"26" "5" "3" "25.8" "2000" "3"
"27" "5" "3" "26.2" "1300" "0"
"28" "3" "3" "28.7" "3150" "3"
"29" "3" "1" "26.8" "2700" "5"
"30" "5" "3" "27.5" "2600" "0"
"31" "3" "3" "24.9" "2100" "0"
"32" "2" "1" "29.3" "3200" "4"
"33" "2" "3" "25.8" "2600" "0"
"34" "3" "2" "25.7" "2000" "0"
"35" "3" "1" "25.7" "2000" "8"
"36" "3" "1" "26.7" "2700" "5"
"37" "5" "3" "23.7" "1850" "0"
"38" "3" "3" "26.8" "2650" "0"
"39" "3" "3" "27.5" "3150" "6"
"40" "5" "3" "23.4" "1900" "0"
"41" "3" "3" "27.9" "2800" "6"
"42" "4" "3" "27.5" "3100" "3"
"43" "2" "1" "26.1" "2800" "5"
"44" "2" "1" "27.7" "2500" "6"
"45" "3" "1" "30.0" "3300" "5"
"46" "4" "1" "28.5" "3250" "9"
"47" "4" "3" "28.9" "2800" "4"
"48" "3" "3" "28.2" "2600" "6"
"49" "3" "3" "25.0" "2100" "4"
"50" "3" "3" "28.5" "3000" "3"
"51" "3" "1" "30.3" "3600" "3"
"52" "5" "3" "24.7" "2100" "5"
"53" "3" "3" "27.7" "2900" "5"
"54" "2" "1" "27.4" "2700" "6"
"55" "3" "3" "22.9" "1600" "4"
"56" "3" "1" "25.7" "2000" "5"
"57" "3" "3" "28.3" "3000" "15"
"58" "3" "3" "27.2" "2700" "3"
"59" "4" "3" "26.2" "2300" "3"
"60" "3" "1" "27.8" "2750" "0"
"61" "5" "3" "25.5" "2250" "0"
"62" "4" "3" "27.1" "2550" "0"
"63" "4" "3" "24.5" "2050" "5"
"64" "4" "1" "27.0" "2450" "3"
"65" "3" "3" "26.0" "2150" "5"
"66" "3" "3" "28.0" "2800" "1"
"67" "3" "3" "30.0" "3050" "8"
"68" "3" "3" "29.0" "3200" "10"
"69" "3" "3" "26.2" "2400" "0"
"70" "3" "1" "26.5" "1300" "0"
"71" "3" "3" "26.2" "2400" "3"
"72" "4" "3" "25.6" "2800" "7"
"73" "4" "3" "23.0" "1650" "1"
"74" "4" "3" "23.0" "1800" "0"
"75" "3" "3" "25.4" "2250" "6"
"76" "4" "3" "24.2" "1900" "0"
"77" "3" "2" "22.9" "1600" "0"
"78" "4" "2" "26.0" "2200" "3"
"79" "3" "3" "25.4" "2250" "4"
"80" "4" "3" "25.7" "1200" "0"
"81" "3" "3" "25.1" "2100" "5"
"82" "4" "2" "24.5" "2250" "0"
"83" "5" "3" "27.5" "2900" "0"
"84" "4" "3" "23.1" "1650" "0"
"85" "4" "1" "25.9" "2550" "4"
"86" "3" "3" "25.8" "2300" "0"
"87" "5" "3" "27.0" "2250" "3"
"88" "3" "3" "28.5" "3050" "0"
"89" "5" "1" "25.5" "2750" "0"
"90" "5" "3" "23.5" "1900" "0"
"91" "3" "2" "24.0" "1700" "0"
"92" "3" "1" "29.7" "3850" "5"
"93" "3" "1" "26.8" "2550" "0"
"94" "5" "3" "26.7" "2450" "0"
"95" "3" "1" "28.7" "3200" "0"
"96" "4" "3" "23.1" "1550" "0"
"97" "3" "1" "29.0" "2800" "1"
"98" "4" "3" "25.5" "2250" "0"
"99" "4" "3" "26.5" "1967" "1"
"100" "4" "3" "24.5" "2200" "1"
"101" "4" "3" "28.5" "3000" "1"
"102" "3" "3" "28.2" "2867" "1"
"103" "3" "3" "24.5" "1600" "1"
"104" "3" "3" "27.5" "2550" "1"
"105" "3" "2" "24.7" "2550" "4"
"106" "3" "1" "25.2" "2000" "1"
"107" "4" "3" "27.3" "2900" "1"
"108" "3" "3" "26.3" "2400" "1"
"109" "3" "3" "29.0" "3100" "1"
"110" "3" "3" "25.3" "1900" "2"
"111" "3" "3" "26.5" "2300" "4"
"112" "3" "3" "27.8" "3250" "3"
"113" "3" "3" "27.0" "2500" "6"
"114" "4" "3" "25.7" "2100" "0"
"115" "3" "3" "25.0" "2100" "2"
"116" "3" "3" "31.9" "3325" "2"
"117" "5" "3" "23.7" "1800" "0"
"118" "5" "3" "29.3" "3225" "12"
"119" "4" "3" "22.0" "1400" "0"
"120" "3" "3" "25.0" "2400" "5"
"121" "4" "3" "27.0" "2500" "6"
"122" "4" "3" "23.8" "1800" "6"
"123" "2" "1" "30.2" "3275" "2"
"124" "4" "3" "26.2" "2225" "0"
"125" "3" "3" "24.2" "1650" "2"
"126" "3" "3" "27.4" "2900" "3"
"127" "3" "2" "25.4" "2300" "0"
"128" "4" "3" "28.4" "3200" "3"
"129" "5" "3" "22.5" "1475" "4"
"130" "3" "3" "26.2" "2025" "2"
"131" "3" "1" "24.9" "2300" "6"
"132" "2" "2" "24.5" "1950" "6"
"133" "3" "3" "25.1" "1800" "0"
"134" "3" "1" "28.0" "2900" "4"
"135" "5" "3" "25.8" "2250" "10"
"136" "3" "3" "27.9" "3050" "7"
"137" "3" "3" "24.9" "2200" "0"
"138" "3" "1" "28.4" "3100" "5"
"139" "4" "3" "27.2" "2400" "5"
"140" "3" "2" "25.0" "2250" "6"
"141" "3" "3" "27.5" "2625" "6"
"142" "3" "1" "33.5" "5200" "7"
"143" "3" "3" "30.5" "3325" "3"
"144" "4" "3" "29.0" "2925" "3"
"145" "3" "1" "24.3" "2000" "0"
"146" "3" "3" "25.8" "2400" "0"
"147" "5" "3" "25.0" "2100" "8"
"148" "3" "1" "31.7" "3725" "4"
"149" "3" "3" "29.5" "3025" "4"
"150" "4" "3" "24.0" "1900" "10"
"151" "3" "3" "30.0" "3000" "9"
"152" "3" "3" "27.6" "2850" "4"
"153" "3" "3" "26.2" "2300" "0"
"154" "3" "1" "23.1" "2000" "0"
"155" "3" "1" "22.9" "1600" "0"
"156" "5" "3" "24.5" "1900" "0"
"157" "3" "3" "24.7" "1950" "4"
"158" "3" "3" "28.3" "3200" "0"
"159" "3" "3" "23.9" "1850" "2"
"160" "4" "3" "23.8" "1800" "0"
"161" "4" "2" "29.8" "3500" "4"
"162" "3" "3" "26.5" "2350" "4"
"163" "3" "3" "26.0" "2275" "3"
"164" "3" "3" "28.2" "3050" "8"
"165" "5" "3" "25.7" "2150" "0"
"166" "3" "3" "26.5" "2750" "7"
"167" "3" "3" "25.8" "2200" "0"
"168" "4" "3" "24.1" "1800" "0"
"169" "4" "3" "26.2" "2175" "2"
"170" "4" "3" "26.1" "2750" "3"
"171" "4" "3" "29.0" "3275" "4"
"172" "2" "1" "28.0" "2625" "0"
"173" "5" "3" "27.0" "2625" "0"
"174" "3" "2" "24.5" "2000" "0"
